,Product_Form,Cu,Ni,Mn,P,Temperature_Celsius,AUC8e+22,AUC1.4571428571428572e+23,AUC2.1142857142857144e+23,AUC2.7714285714285714e+23,AUC3.428571428571429e+23,AUC4.0857142857142864e+23,AUC4.7428571428571424e+23,AUC5.4e+23,AUC6.057142857142857e+23,AUC6.714285714285714e+23,AUC7.371428571428572e+23,AUC8.028571428571429e+23,AUC8.685714285714285e+23,AUC9.342857142857142e+23,AUC1e+24
10,P,0.14,0.49,1.4,0.009,280.0,27.470971561088437,62.52712270025254,101.80038732734795,144.55632079329519,190.40653724531285,239.0763293705663,290.36053973438527,344.0931589125217,400.14359371361627,458.40139485990824,518.7609724719138,581.1549749697512,645.4885108943688,711.7161162403846,779.7745122060663
11,F,0.13,0.74,0.71,0.018,286.1111111111111,21.675715588184936,49.40574008807026,80.53003597820612,114.45951055754979,150.88130013839154,189.57416237927814,230.37281825789316,273.14361563014637,317.7812944715551,364.1968533343704,412.3054739096843,462.0525310110531,513.3621054756971,566.1971132402736,620.5067010041081
12,F,0.13,0.76,0.62,0.02,286.1111111111111,21.59722392620075,49.1972651887554,80.15078387426601,113.8749108758155,150.06065123582465,188.4894784351831,228.9981633750502,271.45467461119756,315.7550791536441,361.8114883040711,409.5400324878076,458.8869167239307,509.7769430737224,562.1736785501425,616.026848170359
13,F,0.16,0.8,0.71,0.013,292.77777777777777,25.2918416990212,56.57850487318512,90.79470975086164,127.40104227702732,166.13140249787182,206.79689518143397,249.25716831339835,293.3973898996696,339.1289532263739,386.3766011135192,435.06457260552315,485.15200437888836,536.5664554756405,589.2833482575734,643.2576034001986
14,P,0.087,0.6,1.26,0.01,292.77777777777777,12.953801724243448,30.823478326113857,51.97259509431896,75.86957569278968,102.20737515203372,130.76974187539705,161.39420046198708,193.95098812074508,228.33568607397493,264.4604127850038,302.2463203094197,341.63300817920606,382.5555176415749,424.9690051426512,468.8257800518075
15,P,0.07,0.59,1.45,0.007,292.77777777777777,9.692946542868334,23.814585796676365,41.113394122538814,61.08781447547234,83.43867292449097,107.95556986175298,134.48009975473315,162.88632044063218,193.0720968449044,224.9516117732136,258.4495851347419,293.50477383866274,330.0572460505597,368.0603330735195,407.46834731469875
16,F,0.06,0.72,1.41,0.013,280.0,10.192340053634927,25.978859477067456,46.00978920665634,69.62806419291897,96.43237067057707,126.14077319645149,158.54069431493804,193.4636685418678,230.77231416641013,270.35133464330886,312.10123258092443,355.93756224658785,401.7831558883086,449.5725579410212,499.2452315834079
17,P,0.0505,0.58175,1.2517500000000001,0.0076,291.6666666666667,6.38982772992734,16.773061390871064,30.28598029997268,46.449383109835374,64.9666830302923,85.62963892183711,108.28111048597177,132.79678786223656,159.0749871613329,187.0304261230374,216.59017566135412,247.69089415017874,280.27686318939294,314.2985478910525,349.7115136674696
18,P,0.05,0.56,1.32,0.01,283.8888888888889,7.858547174730694,20.628395596247653,37.24729601168856,57.125901328474654,79.89945346854185,105.31184649481375,133.1698209798078,163.32049410038746,195.6388096461606,230.01988299527852,266.3740221111271,304.6233261209594,344.69926959743424,386.5409319226321,430.0936650969052
19,P,0.06,0.62,1.3,0.007,291.3,7.817245930128443,19.81875400750903,34.97311831510649,52.79109618702338,72.97472834737411,95.3146627966485,119.65307747005696,145.86485138679942,173.8480177004797,203.51698945789676,234.79776192565095,267.6278415210442,301.94964752609053,337.71483558649277,374.8783929737845
20,P,0.06,0.58,1.45,0.005,291.3,7.6227052835351445,19.306208969221174,34.04546926614716,51.36609346658716,70.97932621822126,92.68227743541023,116.32200168144041,141.7772350272794,168.949166667812,197.75485644017903,228.12256082373924,259.9917549693007,293.3065829492164,328.02024142885,364.0890956098284
21,F,0.1,0.83,0.75,0.015,282.0,17.85400774800166,41.63614958879473,69.12147884462914,99.69455204754306,133.01057470347973,168.82635993413615,206.95956432863989,247.2639133563969,289.6225944043247,333.9371342373562,380.11724433685197,428.0977985566854,477.80205528710513,529.1830171571212,582.1862487802293
22,P,0.11,0.49,1.375,0.01,276.1111111111111,22.462519916250223,52.279866980271095,86.65651484820138,124.83247708258752,166.3835355505619,211.0104329020337,258.4888389109881,308.63870094933014,361.3163650834592,416.4007066131761,473.7803771677699,533.3756535315316,595.0915474922647,658.870739406007,724.6461225245691
23,F,0.09,0.845,0.725,0.008,294.44444444444446,12.255532475738232,28.65988905659878,47.68293236250176,68.89119527607765,92.04063781948825,116.95917639311965,143.5177388870195,171.6128588782732,201.16180712035143,232.0948613115287,264.34831801982307,297.8757707718935,332.62334069590514,368.5573765887332,405.63945156134787
24,P,0.12,0.53,1.315,0.007,275.55555555555554,25.29999857301539,57.98939932087561,94.95176598984291,135.4548531739891,179.10361896662383,225.61892638908492,274.7920162412331,326.4544798269374,380.4731313507036,436.7354586719955,495.1354573733363,555.602464962062,618.042996016789,682.4081242063244,748.6341902817919
25,W,0.1,0.44,0.9,0.014,282.0,17.437922496418242,40.31793795808975,66.47948385635225,95.36958584401684,126.68367339864521,160.206754473941,195.7778121254599,233.26735507290832,272.57242183234337,313.60613439293815,356.2878571862019,400.5614224365064,446.3571281101453,493.6351524874984,542.3469664709567
26,P,0.1,0.56,1.4,0.015,283.3333333333333,18.489065154457503,43.64291504223429,73.13852208431125,106.26581456202584,142.61908455322975,181.91244763395193,223.93126468382292,268.50384451380955,315.49239963014924,364.780897814907,416.2644299256514,469.86430769670574,525.4931234027723,583.0930182131626,642.6006111943494
27,W,0.22,0.643,1.52,0.012,282.6,51.926859851729574,113.95643143976773,179.87480946405105,248.87959784786983,320.6285124403243,394.8765351439817,471.44376139504936,550.1792104814574,630.9715103916038,713.7251059888138,798.3323046553098,884.756376621144,972.8818803845155,1062.6968997561637,1154.1382809005456
28,P,0.06,0.55,1.32,0.005,291.6666666666667,7.366937093124248,18.65291276385228,32.88680620126977,49.610903906420376,68.54664871475295,89.49831474461894,112.31835868411565,136.8897971034561,163.11731077713657,190.92088966727303,220.23131697078668,250.99021641866986,283.143689352157,316.6465990842166,351.45684831520464
29,W,0.09,0.66,1.44,0.013,276.0,19.57507734861705,45.7803542289891,76.17170108072598,110.05627889171045,147.04397104986214,186.85969044943343,229.2971048977217,274.19081814176604,321.4085789475263,370.8389298199756,422.3800445635286,475.9577255411543,531.4858619907756,588.9106432977821,648.1706454863712
30,P,0.15,0.52,1.32,0.01,292.22222222222223,24.05695576824178,54.45874110185246,88.2665874072216,124.87850620821644,163.9819227790864,205.35554624979505,248.83432826794115,294.2843349582668,341.60072577113715,390.69473599540174,441.48035762956505,493.90497625849474,547.8899866301392,603.4007778344172,660.3859036228788
31,P,0.15,0.6,1.27,0.011,290.0,25.90971323174145,58.56457935815048,94.80268100260403,133.98788628451564,175.79171990484366,219.98156776326297,266.3840059880862,314.8581814006697,365.29400465926375,417.5982361000269,471.68016037364634,527.4850000747197,584.9294293643616,643.9777155350207,704.5756276643929
32,F,0.154,0.78,0.686,0.012,291.6666666666667,24.422806457102002,54.687479916404484,87.83215423657978,123.328613760655,160.91499521006776,200.40545993358455,241.6618753609401,284.5713164700392,329.0465247009078,375.01341105826737,422.3976670719704,471.15869930015015,521.225755433913,572.5741754795328,625.1597221166793
33,W,0.03,0.07,1.7,0.01,288.0,6.681887148875719,17.539706560483324,31.670259529796695,48.57244188621391,67.93611076743824,89.543506970445,113.23030779586193,138.86652156094095,166.3458167178111,195.57901301581472,226.489848004211,259.01208490552443,293.087458602534,328.6641701195604,365.69575390025614
34,F,0.057,0.77,1.38,0.013,288.8888888888889,8.205853746833425,21.152823246008303,37.745663075057884,57.42255036729637,79.83843636300027,104.75097224958633,131.9773662494601,161.3728661505216,192.81927661890634,226.21743004111687,261.48207316028925,298.5401445805971,337.32593553348664,377.7826012182275,419.85824076793307
35,W,0.08,0.84,1.11,0.015,295.0,12.327409649187198,29.217941504882806,49.118436226838234,71.53893700759635,96.19789061947073,122.89695199500946,151.48714949103524,181.84941781745385,213.88806760526904,247.52254239166808,282.68030327205804,319.30633100322984,357.3405444422612,396.74227918278257,437.46768433195865
36,P,0.24,0.6,1.35,0.018,276.0,54.9935659241088,121.90307063936045,194.1038015526149,270.57767422116757,350.849624560799,434.58138460538834,521.5227058184049,611.466920027144,704.257159667945,799.7597025621727,897.8340974310988,998.4154250710453,1101.3630627465875,1206.6431270809219,1314.1725162657801
37,P,0.05,0.62,1.31,0.014,292.22222222222223,7.246027367758393,19.02055376393151,34.344124973067,52.67332946285689,73.67183954352642,97.10351097774536,122.79014758376651,150.59078270504705,180.39010740434156,212.09141209609007,245.6119956222381,280.8800289483158,317.8323277336478,356.4127197042894,396.5708162970324
38,P,0.081,0.61,1.393,0.012,294.44444444444446,11.88930003426063,28.690855628141218,48.88828698028731,71.93831678210711,97.52208909919914,125.41519845131756,155.44886879168402,187.4886094954071,221.42577542208986,257.1690039600146,294.63723941628314,333.7664821078342,374.49106833968494,416.7628422921787,460.53269531068463
39,W,0.13,0.84,1.44,0.015,276.0,34.34210316493426,77.54199087606787,125.41166619035316,177.11939275655754,232.23743447918457,290.4628209387852,351.56974149920137,415.37467733798763,481.7343525029302,550.527390358944,621.635344270969,694.9873759706445,770.4742877437683,848.0501612161095,927.6442169656634
40,P,0.195,0.597,1.327,0.005,283.8888888888889,39.67706286835329,87.69563025893464,139.28527801223052,193.74684246651637,250.7612281672748,310.1009357669372,371.59796497904966,435.11303693468653,500.5411528838236,567.792669308233,636.771800485741,707.4371764940088,779.6911992799346,853.5138911449195,928.8487037140605
41,W,0.03,0.7,1.65,0.008,287.0,6.571253761143587,17.24929801071603,31.145888491485042,47.76821791825929,66.81127852826886,88.06091660265902,111.35553016698269,136.56727983767288,163.59159462029234,192.34077084004147,222.739808739352,254.72356823677436,288.2347489226864,323.22240946776395,359.64085365548806
42,W,0.19,1.15,1.1,0.014,282.0,57.53605399771141,128.23719780484709,205.1472887761454,287.10457903927943,373.547435026375,464.07673479841446,558.396384799761,656.2633182720202,757.491078471835,861.9210941303267,969.3912692938579,1079.818749235053,1193.0458702888902,1309.024978552951,1427.659821873825
43,W,0.029,0.11,1.44,0.018,288.9,7.035188020526865,18.467108277731242,33.34480596376002,51.14068131831978,71.52819285681673,94.27806748583494,119.21729403946183,146.20900760081642,175.14125440367687,205.9201388438353,238.46536613810935,272.707197278187,308.5842864128805,346.042095725993,385.0317028220846
44,W,0.07,0.93,1.6,0.007,290.0,11.728653600463081,28.387970615835773,48.47900622173597,71.45409520419395,96.99084546498774,124.86239363312751,154.89808240477728,186.96197898692455,220.94419409253896,256.7523330597182,294.30459573539946,333.53603388057627,374.38059131672804,416.78928108242235,460.7125278491474
45,W,0.023,0.12,1.54,0.019,290.0,7.11720744312806,18.68240622764159,33.73355488190076,51.7369026475752,72.3621010708837,95.37720408837961,120.60718349126655,147.91357872919608,177.18313082800634,208.3208495058178,241.24550386633538,275.88654185216075,312.1819024142637,350.07641190977415,389.52057758370864
46,F,0.05,0.74,1.41,0.005,286.0,6.504348174314525,17.07367332055103,30.828774889944135,47.28186314217411,66.1310357680264,87.16431946668402,110.22175762321969,135.17681245788344,161.92597767165265,190.38244254958633,220.47197094833246,252.13008601381586,285.3000707437318,319.9315024707434,355.9791502369094
47,W,0.02,0.18,1.53,0.012,290.0,6.475170633427219,16.99708335518385,30.690481579723,47.069763719128694,65.83438175315354,86.77331326175847,109.72731917165868,134.57042933281022,161.19960176009113,189.5284151585479,219.4829663971536,250.99906785543402,284.02025695514214,318.49633721754554,354.38228058407
48,F,0.06,0.71,0.69,0.01,280.0,8.183472230766563,20.691558820375143,36.44653959956769,54.94395352824433,75.87703369836518,99.03022546409342,124.24104595478457,151.38065282767823,180.34408324896359,211.04322902539334,243.40182648623068,277.3556450799967,312.8452468840245,349.8209957603332,388.2365123945805
49,P,0.172,0.584,1.16,0.018,276.6666666666667,37.52564600087484,84.53112172365078,136.44737077487085,192.39309452412417,251.91932537271114,314.70789864334273,380.52184320504483,449.16828138497925,520.4970239273922,594.3807646105718,670.694396508298,749.3647724952195,830.2755771037324,913.3801148028491,998.6036987814676
50,F,0.06,0.75,0.79,0.01,280.0,8.567707342772518,21.68373255010296,38.21900976810748,57.642535273763244,79.63122784069938,103.95807467579921,130.4519501726429,158.97716856295952,189.42317809316862,221.6971815653972,255.71888641181394,291.4206045913717,328.73979569359994,367.6241320840849,408.02478151205094
51,W,0.23,1.08,1.83,0.009,284.0,68.18529083591692,150.15775143219741,237.7391089981774,329.8036227888169,425.8536072547988,525.5335734694244,628.5817001550139,734.779694045376,843.964636838445,955.9971192468873,1070.72441871909,1188.087156285988,1307.925877137947,1430.2158232504694,1554.867118064366
52,W,0.08,1.58,1.46,0.009,283.2,41.29280485735457,103.22083205307071,180.38876974127305,270.41527424873027,371.8621965990143,483.71869020768725,605.223116890366,735.7709588937541,874.8705346021235,1022.1089738540958,1177.1271999824585,1339.626485114038,1509.32481847431,1685.9924755889256,1869.4112460567233
53,W,0.04,0.95,1.41,0.009,290.55555555555554,7.133229455348106,18.724463416963523,33.80949469858619,51.85337098056543,72.52500014006081,95.59191396463781,120.87869022802579,148.24655668225518,177.58199938846312,208.78981422591946,241.78858743413403,276.50760813134707,312.88467555883284,350.864491868717,390.39745288963104
54,P,0.1,0.18,1.42,0.016,298.8888888888889,11.685972517783476,28.19303622356622,48.03100181904473,70.66687297400404,95.78790888745448,123.1740052078991,152.6596235382637,184.11284839708873,217.4271215928641,252.51283428771436,289.29047226598806,327.69728340947995,367.66883500576796,409.15791986154807,452.1163645659582
55,W,0.26,0.62,1.37,0.018,283.8888888888889,58.85481763354445,128.75469456006255,202.6712897050421,279.7512541175734,359.64415919306117,442.0985573233432,526.9304481668175,613.9842980165948,703.146848764049,794.3206379303539,887.3924044400719,982.3291916609539,1079.0062774039436,1177.4172435634284,1277.4959166201295
56,W,0.041,0.605,1.76,0.008,288.9,6.396819736762245,16.791415150134075,30.31912043930183,46.50020989545589,65.03777219121929,85.72333832124464,108.39959603779072,132.9420994555424,159.24905341859431,187.23508234743946,216.8271773541389,247.96192750163036,280.5835534204781,314.64246601966835,350.0941820893983
57,P,0.096,0.58,1.4,0.009,290.0,15.405920010698823,36.23094181643301,60.5442522508552,87.77276606683196,117.59085510105892,149.7690039599788,184.13495798872722,220.55081933300735,258.90607337428327,299.1076270999068,341.0709795920791,384.7334365870186,430.0241931556613,476.89738595936944,525.3019934612428
58,F,0.11,1.0,0.85,0.008,290.0,19.579178902306932,45.159589290284984,74.31929710194781,106.45252112570432,141.22738746686528,178.40957014289282,217.82363654745527,259.32838955942833,302.8117152354383,348.1789845424075,395.3420280598696,444.2401147079368,494.7966305125566,546.9687710032907,600.7035026290125
59,P,0.11,0.58,1.285,0.017,282.77777777777777,20.791250841598146,48.57632043268046,80.76096885311716,116.61599456217446,155.7315131079729,197.81847465871382,242.66009912240685,290.0825715081164,339.94696929590737,392.1362016923882,446.54316437247496,503.0900830745691,561.6862262408748,622.2752843742699,684.7926612799134
60,P,0.19,0.465,1.19,0.008,285.55555555555554,33.979519692048946,75.67217737349578,120.97205806241728,169.20161857520714,220.0348953859966,273.24018247103055,328.64565071765776,386.11012894207084,445.5254792111874,506.7997069307392,569.8384243913213,634.5940227584027,700.9743232882201,768.9522640535306,838.4718254871467
61,F,0.07,0.67,1.35,0.008,287.0,10.125609155160731,24.893599825873206,42.99600771155855,63.90667359946244,87.31158841324707,112.98992450714881,140.77541993051608,170.53589551943577,202.16414518551514,235.570093227115,270.67475197532355,307.41380230567,345.7243956166619,385.55750031557915,426.8651760844958
62,P,0.195,0.597,1.327,0.005,283.3333333333333,40.07792891304753,88.58174537826041,140.69282474343836,195.7049247432306,253.29571613302943,313.2353941617729,375.35425594770305,439.5116113440208,505.60139735292955,573.5330619080116,643.2098492215209,714.5899691135414,787.5748358616211,862.1442680582086,938.2411445815806
63,F,0.07,0.65,1.18,0.005,289.44444444444446,8.993869244337455,21.949862044578786,37.71201875518097,55.83531397240176,76.05576716464958,98.18768267744655,122.09130338553261,147.65542792603264,174.78999511348076,203.41931127122248,233.4767189403169,264.9085395221787,297.6613849132342,331.69452437072493,366.96752720894705
64,F,0.16,0.745,0.71,0.013,284.0,28.816548996531566,64.47522198889669,103.48313034507386,145.22404640159567,189.39368918119348,235.77607103210156,284.21069831696616,334.56628010712086,386.7414820715138,440.650242136757,496.2059839372739,553.3618958100349,612.0352623686813,672.1978735871172,733.7982097744216
65,P,0.04,0.65,1.55,0.006,293.3333333333333,6.366815886239039,16.712656152543083,30.17691065458211,46.282103804552186,64.73271691758498,85.32125879810918,107.89115506084683,132.31854352549465,158.5021064994442,186.35686885157264,215.810164137194,246.7988788439594,279.2674952317946,313.16665680396517,348.45208899615596
66,W,0.19,1.08,1.44,0.012,289.0,49.32010062854935,109.57204251421709,174.8057243198986,244.07416952729193,316.92863508565415,393.0498714340046,472.2014097759304,554.1884756198147,638.8625401961568,726.0971212017688,815.7609360843904,907.7905182767925,1002.0560510604678,1098.522860666744,1197.1131495117302
67,F,0.067,0.702,1.33,0.007,286.0,9.625256989090044,23.811392566816597,41.30974707213477,61.59970112311199,84.36907782339408,109.39838448106237,136.522314913567,165.60953565310555,196.55340691737374,229.2643501801023,263.6640716712863,299.6882673145213,337.2749617162347,376.37496118454345,416.9407227188307
68,F,0.13,0.82,0.68,0.011,284.0,23.34437090205002,52.82086702829856,85.57866043766309,121.03702007204772,158.8949213807285,198.93923200083626,241.01100813117677,284.98123522608654,330.74897044319096,378.2287404302848,427.337622198961,478.02508950357173,530.2152392612442,583.8749186204753,638.9545353616023
69,P,0.073,0.49,1.34,0.014,291.6666666666667,10.747368120998111,26.4932228831161,45.8467258042822,68.239581261851,93.33192538510109,120.8847704021908,150.71815784428549,182.68906098007884,216.68141816950657,252.59772344131375,290.3525973911595,329.87625196530337,371.1009070433322,413.973278599093,458.44153550351695
70,P,0.07,0.62,1.45,0.008,292.77777777777777,9.894942402521803,24.333183015970214,42.03631329080838,62.48923711840484,85.38448132565367,110.50581675311639,137.69044144219538,166.8089308151301,197.75630753966428,230.44436950252856,264.795783626981,300.7475532983113,338.2381609208361,377.21957524328514,417.64485910102746
71,F,0.064,0.69,1.32,0.006,287.0,8.642951364206219,21.557772681564572,37.61687985956522,56.32837516403089,77.39561452350101,100.61007944076115,125.81467243258234,152.8846796609545,181.71869980823342,212.23157906494154,244.3491851067491,278.0100024516798,313.15571717996204,349.7390720270723,387.7150237133805
72,F,0.063,0.712,1.28,0.006,286.0,8.586070289044677,21.480230698721464,37.56000046548314,56.327819205330556,77.48304253158791,100.81435828965297,126.1625448648112,153.40123588754653,182.42763934427452,213.15544194492074,245.5096032580553,279.42763666498075,314.85064093878395,351.7305453875265,390.02174553088895
73,P,0.03,0.65,1.375,0.012,276.6666666666667,9.47748664863688,24.8780518204291,44.92061227089361,68.89440950012747,96.35954161049354,127.00714227526383,160.60413868810846,196.9661526321809,235.9423650644738,277.40628407991665,321.249740183487,367.37878414195393,415.7107736032035,466.1722376914974,518.697270371595
74,P,0.07,0.56,1.35,0.013,289.0,10.82191744733133,26.788470270793105,46.4951566423075,69.3543173834704,95.01341666019897,123.22459029183509,153.80115938708073,186.5948194403686,221.4851376328458,258.3709514523419,297.163870329167,337.79123785713244,380.1831210907871,424.2839180035131,470.03995184321457
75,P,0.065,0.62,1.36,0.014,293.8888888888889,9.268087711693669,23.24712246057146,40.72327655140238,61.15107629808482,84.20038430403436,109.63917571349397,137.2926041723814,167.02193389919475,198.7142675449616,232.27481423025057,267.62125674208363,304.68484772696377,343.4010917486666,383.717039630416,425.58265583408416
76,P,0.06,0.65,1.18,0.012,292.77777777777777,8.084990837258534,20.559145270198616,36.353512553670726,54.953573147274696,76.04546399629525,99.40867453995598,124.87695399601894,152.31852819294664,181.6259676704805,212.70910759208678,245.49007212087304,279.90290998439065,315.8871386602146,353.3916815317117,392.36916312754096
77,W,0.2,1.05,1.28,0.019,276.6666666666667,62.57431459607991,138.9287491697283,221.5174057130967,309.1512039028745,401.26908986248696,497.4718167911578,597.4637623709094,701.001250582023,807.8987012524285,917.9980348451064,1031.1346308047152,1147.229881494071,1266.1204348125168,1387.7638636014044,1512.0626565732455
78,P,0.17,0.52,1.315,0.015,276.6666666666667,36.33754792303801,82.00116095323814,132.5611704620252,187.14393108902726,245.30114639848026,306.7152465456487,371.14957786932695,438.4117420364074,508.3516223915443,580.8420301728438,655.7586432514191,733.0274997169187,812.5337573126167,894.2296405665835,978.0408759861826
79,P,0.11,0.58,1.285,0.017,283.3333333333333,20.582720359687276,48.08902002492818,79.9506819466759,115.44583119169319,154.16870297567405,195.83315260336826,240.2245788108623,287.1709135133728,336.53463053255837,388.19981595964265,442.06044172249784,498.0395156110392,556.0472174893634,616.0278042611083,677.9173288582193
80,W,0.22,0.63,1.705,0.014,292.77777777777777,42.92196672653841,94.42562343920194,149.36632961104894,207.04888871770459,267.16900588875797,329.50919835425987,393.9094233953701,460.2360042558227,528.3894947908158,598.2847366756187,669.8277016518899,742.9830901009735,817.6519939230716,893.8205270031225,971.4334086705144
81,P,0.11,0.61,1.43,0.013,276.6666666666667,23.648674056125092,55.071313386551,91.32366322493982,131.60135008535076,175.45490853316244,222.5672868153917,272.7007988176915,325.66470152518605,381.30677122962993,439.4986648074052,500.12248658044723,563.0936455858472,628.3116733738065,695.7156858642261,765.2346226176642
82,W,0.01,0.9,1.33,0.012,276.6666666666667,8.991750165505769,23.603011522678134,42.61835841040432,65.36345984874501,91.4209596221202,120.4978213014177,152.37291743770626,186.87131949525622,223.8499381503681,263.1887644122072,304.78517264690794,348.55002867103366,394.40492568636415,442.28015831809125,492.1131983216235
83,W,0.29,0.69,1.575,0.016,276.6666666666667,76.38692657294943,166.63036064619453,261.6255525515856,360.3311792542465,462.33671941157525,567.3468228624694,675.1461779459996,785.551324196362,898.4305800036019,1013.6702484499808,1131.1337174925254,1250.7884523527744,1372.479803876968,1496.2078094582687,1621.89296534862
84,W,0.25,0.2,1.33,0.009,284.0,41.217538239050256,90.76886009924509,143.71027282695383,199.36133829253947,257.42125207872846,317.67515372027117,379.9647969076994,444.15824276052035,510.1570231779456,577.8768786500955,647.2254995471815,718.1670016468219,790.6050026415409,864.5245446113698,939.8713040008046
85,P,0.06,0.65,1.18,0.012,293.3333333333333,8.006379094939996,20.35922554587709,35.99998290577119,54.41913711433414,75.30587867934719,98.44184237450388,123.66239486703596,150.83704400372955,179.8594055080109,210.64019175684925,243.10228453986136,277.18037426042616,312.8145667746584,349.9542824360909,388.5526066751749
86,F,0.1,0.9,0.74,0.006,283.2,17.815736075733753,41.05208170275193,67.50668457196647,96.63387295174711,128.1353749057345,161.80056670890647,197.4717852749383,235.02209263356295,274.35075566723367,315.3727405440463,358.0086893130035,402.2041985965075,447.8901602271971,495.02832601690125,543.570973674018
87,P,0.13,0.58,1.35,0.014,289.0,22.404615833578088,51.43345025783138,84.32381928968861,120.4161444062949,159.3531471081761,200.8824242928651,244.8151572726584,290.9991165785602,339.31378410356416,389.65737243830984,441.9342623101414,496.08015679343424,552.011054417047,609.6822215403794,669.0362114016799
88,P,0.1,0.56,1.4,0.015,282.77777777777777,18.676417186729733,44.08524061877364,73.87990007261062,107.34311662977989,144.06506328366234,183.75695311205908,226.20196778778228,271.2266730314369,318.6918823670562,368.48038549761463,420.4862083481557,474.6298634468035,530.8230560504891,589.0073395274665,649.1186895453184
89,F,0.08,0.88,0.76,0.006,283.2,12.847252153920623,30.469234288926536,51.2465998648631,74.66607707837235,100.43246481876281,128.3378117135245,158.22592241101066,189.97197321684655,223.4756259301019,258.65241422952994,295.42632402933026,333.7396056677372,373.52935485360894,414.7528571037111,457.3641566262631
90,P,0.057,0.593,1.301,0.014,292.77777777777777,7.8659846248602765,20.286432578029572,36.21111123606431,55.10012334442164,76.62181248306638,100.54323834837191,126.68870314545102,154.91907652082688,185.12074777441904,217.19839689876258,251.07009085042736,286.66558650660556,323.92174998197635,362.7839210755139,403.2022190395755
91,P,0.16,0.62,1.41,0.014,276.6666666666667,35.97395002720252,81.28776508246204,131.55224159410167,185.88765745745027,243.84029077317916,305.08881293890136,369.39368011401496,436.5603010387532,506.4366344710875,578.8939006582922,653.8066971097016,731.0995109505433,810.6570321786272,892.4300911608832,976.3437296084018
